user_id,item_id,event_type,event_weight,timestamp
U0311,I0161,view,1.0,2025-09-01
U0096,I0121,cart,3.0,2025-09-01
U0262,I0136,purchase,7.0,2025-09-01
U0288,I0108,view,1.0,2025-09-01
U0420,I0108,view,1.0,2025-09-01
U0431,I0048,view,1.0,2025-09-01
U0255,I0091,view,1.0,2025-09-01
U0362,I0117,purchase,7.0,2025-09-01
U0424,I0058,purchase,7.0,2025-09-01
U0129,I0154,view,1.0,2025-09-01
U0391,I0012,view,1.0,2025-09-01
U0301,I0066,view,1.0,2025-09-01
U0301,I0039,view,1.0,2025-09-01
U0255,I0020,purchase,7.0,2025-09-01
U0294,I0114,cart,3.0,2025-09-01
U0066,I0001,cart,3.0,2025-09-01
U0234,I0083,purchase,7.0,2025-09-01
U0079,I0102,purchase,7.0,2025-09-01
U0323,I0024,cart,3.0,2025-09-01
U0186,I0029,purchase,7.0,2025-09-01
U0354,I0136,cart,3.0,2025-09-01
U0418,I0149,purchase,7.0,2025-09-01
U0145,I0012,cart,3.0,2025-09-01
U0038,I0074,purchase,7.0,2025-09-01
U0323,I0024,purchase,7.0,2025-09-01
U0181,I0146,view,1.0,2025-09-01
U0094,I0145,view,1.0,2025-09-01
U0265,I0124,view,1.0,2025-09-01
U0226,I0029,purchase,7.0,2025-09-01
U0127,I0090,cart,3.0,2025-09-01
U0340,I0123,view,1.0,2025-09-01
U0387,I0158,view,1.0,2025-09-01
U0261,I0046,cart,3.0,2025-09-01
U0106,I0061,purchase,7.0,2025-09-01
U0363,I0097,purchase,7.0,2025-09-01
U0278,I0123,cart,3.0,2025-09-01
U0345,I0143,purchase,7.0,2025-09-01
U0038,I0074,view,1.0,2025-09-01
U0436,I0130,cart,3.0,2025-09-01
U0426,I0115,purchase,7.0,2025-09-01
U0326,I0055,view,1.0,2025-09-01
U0403,I0033,view,1.0,2025-09-01
U0147,I0081,cart,3.0,2025-09-01
U0134,I0154,cart,3.0,2025-09-01
U0074,I0143,cart,3.0,2025-09-01
U0340,I0156,purchase,7.0,2025-09-01
U0164,I0158,purchase,7.0,2025-09-01
U0362,I0117,purchase,7.0,2025-09-01
U0277,I0058,purchase,7.0,2025-09-01
U0446,I0119,cart,3.0,2025-09-01
U0185,I0083,purchase,7.0,2025-09-01
U0106,I0046,purchase,7.0,2025-09-01
U0338,I0104,cart,3.0,2025-09-01
U0349,I0019,cart,3.0,2025-09-01
U0263,I0001,cart,3.0,2025-09-01
U0055,I0030,view,1.0,2025-09-01
U0064,I0130,purchase,7.0,2025-09-01
U0216,I0006,cart,3.0,2025-09-01
U0171,I0129,purchase,7.0,2025-09-01
U0237,I0012,purchase,7.0,2025-09-01
U0112,I0088,purchase,7.0,2025-09-01
U0265,I0126,view,1.0,2025-09-01
U0171,I0132,cart,3.0,2025-09-01
U0056,I0013,cart,3.0,2025-09-01
U0064,I0104,view,1.0,2025-09-01
U0106,I0153,purchase,7.0,2025-09-01
U0137,I0059,purchase,7.0,2025-09-01
U0034,I0091,view,1.0,2025-09-01
U0408,I0178,view,1.0,2025-09-01
U0431,I0030,view,1.0,2025-09-01
U0137,I0013,view,1.0,2025-09-01
U0253,I0050,cart,3.0,2025-09-01
U0136,I0158,view,1.0,2025-09-01
U0396,I0144,purchase,7.0,2025-09-01
U0324,I0146,view,1.0,2025-09-01
U0108,I0159,view,1.0,2025-09-01
U0295,I0137,purchase,7.0,2025-09-01
U0143,I0026,purchase,7.0,2025-09-01
U0091,I0136,cart,3.0,2025-09-01
U0381,I0079,purchase,7.0,2025-09-01
U0168,I0081,purchase,7.0,2025-09-01
U0169,I0009,purchase,7.0,2025-09-01
U0079,I0009,cart,3.0,2025-09-01
U0418,I0149,view,1.0,2025-09-01
U0418,I0149,purchase,7.0,2025-09-01
U0396,I0065,view,1.0,2025-09-01
U0042,I0073,view,1.0,2025-09-01
U0418,I0149,cart,3.0,2025-09-01
U0396,I0096,view,1.0,2025-09-01
U0318,I0169,cart,3.0,2025-09-01
U0026,I0136,cart,3.0,2025-09-01
U0225,I0031,cart,3.0,2025-09-01
U0275,I0085,view,1.0,2025-09-01
U0091,I0136,purchase,7.0,2025-09-01
U0250,I0098,view,1.0,2025-09-01
